accX,accY,accZ
78,-9,226
43,-46,263
143,-16,238
89,23,213
40,-33,256
137,-54,243
107,2,219
20,-7,256
113,-63,254
24,-18,235
92,-61,253
146,-12,222
51,1,228
66,-57,263
145,-27,225
74,-10,226
46,-56,260
138,-22,229
72,-6,231
48,-55,257
141,-35,236
80,17,213
44,-39,256
139,-27,235
103,-1,215
35,-31,256
138,-45,240
103,-2,207
39,-28,248
143,-33,244
102,11,217
34,-44,252
145,-51,233
73,15,214
48,-32,269
146,-29,236
71,8,226
55,-53,267
158,-25,225
62,11,230
46,-44,264
148,-35,239
79,15,219
36,-35,248
150,-36,241
38,-49,254
144,-37,235
100,1,211
24,-47,251
119,-46,250
137,-6,222
32,-5,236
67,-65,267
155,-19,225
73,22,221
34,-22,254
141,-46,246
115,9,218
24,-34,237
80,-53,263
153,-35,225
70,7,223
36,-24,263
143,-35,240
115,-4,215
38,-16,246
96,-68,264
147,-3,223
53,-9,221
39,-40,265
127,-53,246
140,-5,218
46,4,225
40,-44,252
121,-63,249
147,1,222
65,5,232
36,-30,248
116,-38,254
151,-5,223
68,8,226
138,-38,237
130,15,213
33,-13,233
56,-64,260
140,-54,244
130,21,216
34,22,239
57,-66,261
136,-54,245
133,7,213
46,24,232
46,-31,267
133,-54,247
129,-25,215
53,18,230
49,-49,259
137,-56,248
111,28,210
26,-20,243
89,-57,261
152,-20,224
74,31,218
36,-37,251
127,-39,251
135,18,217
32,2,233
58,-56,266
141,-34,236
123,27,214
32,2,246
47,-46,253
133,-70,249
135,-14,223
55,-2,230
49,-24,266
138,-60,246
20,-17,253
107,-55,254
142,13,223
54,13,222
42,-31,261
133,-54,251
121,2,219
28,-27,237
78,-41,264
154,-46,224
69,0,222
46,-36,263
150,-39,238
106,0,216
34,-51,258
119,-53,255
140,-10,222
43,12,229
64,-65,261
142,-18,241
101,-5,214
26,-23,259
106,-47,249
143,4,223
45,17,235
48,-42,261
142,-35,236
107,0,217
24,-1,244
103,-58,259
141,-6,216
33,26,236
79,-57,262
155,-39,227
63,9,228
155,-33,227
69,21,225
36,-31,254
138,-40,241
99,12,220
18,-12,251
125,-44,258
137,-8,226
33,24,235
55,-59,263
155,-43,246
99,-5,210
25,-40,253
123,-53,257
142,-9,220
