accX,accY,accZ
53,28,249
51,25,250
53,28,247
55,26,250
54,26,248
53,27,250
53,29,249
53,28,248
52,28,248
53,28,248
52,27,251
53,27,246
53,27,250
52,29,249
53,27,247
53,27,248
51,28,249
53,27,250
54,26,252
53,28,250
53,28,248
54,27,249
52,27,250
54,28,250
52,27,249
55,29,243
53,27,249
53,28,249
51,27,251
54,28,250
54,26,252
54,27,250
54,27,247
54,27,248
54,27,248
53,27,249
53,27,249
54,27,249
55,26,250
53,27,249
54,25,252
54,27,249
52,28,249
53,26,250
54,28,247
55,24,251
55,24,251
53,27,248
54,28,249
55,27,249
54,28,249
53,26,250
54,25,250
54,26,249
55,27,247
54,27,246
55,25,249
55,26,248
53,29,245
53,28,247
54,26,251
54,27,249
54,29,244
52,27,248
54,27,249
54,27,249
56,26,249
54,29,248
52,30,243
53,27,247
54,26,249
53,27,250
55,27,247
55,26,250
55,29,247
53,27,249
57,26,248
54,27,249
53,27,249
54,25,249
55,24,252
55,27,247
54,27,248
56,28,246
53,26,251
55,27,246
54,26,249
54,27,246
54,26,253
54,25,252
55,28,245
54,28,247
55,25,249
53,29,247
54,27,252
54,27,249
56,24,248
53,28,247
55,27,247
55,26,248
54,26,249
55,29,245
53,26,251
55,27,247
54,25,253
55,26,247
54,26,252
54,26,249
55,27,246
55,26,248
56,24,250
56,26,247
53,27,248
53,27,249
54,24,254
53,25,248
56,27,247
58,25,247
55,26,247
55,24,252
56,26,250
57,26,247
56,27,249
55,27,246
56,25,251
57,27,245
57,25,248
57,28,244
56,29,244
54,25,249
54,28,246
56,27,245
55,28,245
54,25,250
55,25,251
54,26,252
56,25,249
54,27,249
56,24,251
55,25,250
56,27,247
55,24,250
57,25,249
55,26,245
56,27,245
57,26,247
54,27,247
55,24,251
56,27,245
56,26,247
55,25,249
57,25,248
56,26,248
57,25,250
57,25,246
56,23,251
56,22,253
57,26,246
57,26,245
56,24,251
56,25,249
56,25,249
58,24,250
56,25,248
57,25,250
58,27,247
56,25,249
58,25,249
58,24,248
55,25,247
57,24,250
56,26,248
57,26,249
57,25,245
58,25,246
58,26,246
57,26,250
57,25,248
56,25,249
57,25,246
57,23,252
57,26,244
59,24,248
56,26,245
57,24,249
58,26,245
57,24,249
55,25,249
58,24,248
56,26,245
57,24,249
57,25,248
58,25,249
58,24,249
58,24,251
58,25,249
58,24,250
58,25,246
57,25,248
57,26,246
59,24,247
59,25,246
59,25,247
59,25,246
59,25,249
58,23,251
58,25,248
57,25,250
58,24,250
58,23,248
59,24,248
59,24,249
58,25,245
59,24,248
57,25,246
59,24,248
60,25,248
59,25,247
59,23,249
59,24,248
60,26,246
59,25,246
58,24,245
59,24,249
59,24,247
57,25,247
59,24,249
59,24,249
58,25,248
60,22,250
59,24,250
60,24,249
59,24,245
60,24,249
58,24,250
59,23,251
59,24,249
58,23,247
60,24,247
60,24,247
58,23,251
59,25,247
59,24,248
58,24,248
60,25,247
59,25,248
59,24,247
59,24,247
60,23,248
58,25,247
59,24,248
59,23,250
59,24,248
58,25,250
59,24,249
60,24,248
61,24,247
59,23,247
60,23,249
58,24,247
60,24,248
60,23,247
59,23,248
58,24,248
59,23,250
58,24,248
58,23,250
60,25,250
58,24,250
59,24,251
59,24,248
59,26,247
61,25,246
58,24,248
59,24,248
59,23,250
58,24,248
58,24,249
60,22,247
60,25,244
59,23,249
59,21,249
61,22,250
61,24,249
62,23,248
60,23,248
62,23,247
60,23,246
61,24,246
60,23,249
60,22,249
60,24,248
60,22,248
59,22,249
62,22,247
59,23,249
61,23,247
61,23,246
61,23,250
59,23,249
60,23,248
60,23,248
60,24,248
60,23,249
61,23,246
60,24,247
60,23,248
61,23,248
60,24,247
60,24,247
60,22,249
61,23,246
61,23,247
60,23,250
60,24,249
61,22,249
61,22,249
59,22,250
60,21,253
60,24,244
61,23,248
60,23,247
60,24,244
62,24,245
60,24,248
60,23,246
62,23,248
62,23,245
60,22,250
60,23,247
61,23,249
60,23,250
60,22,251
60,23,249
61,22,247
61,24,246
60,23,251
60,23,249
61,22,248
61,23,248
61,23,247
61,24,248
62,23,250
62,23,248
61,24,246
61,23,247
61,23,246
61,23,247
60,23,248
61,23,249
60,24,248
60,25,247
62,22,247
61,24,245
59,24,249
61,23,249
59,23,250
61,25,246
59,23,250
62,23,247
61,23,249
59,25,246
61,23,248
59,22,249
61,23,249
61,24,244
60,22,249
61,23,247
60,24,245
62,22,249
61,23,246
61,22,248
60,26,244
61,24,248
61,23,249
62,22,248
61,22,248
61,23,250
60,23,247
61,23,248
60,24,250
61,24,247
61,23,246
60,22,249
62,22,247
61,22,248
61,24,249
60,22,250
61,23,247
63,23,246
61,24,248
62,23,246
60,23,247
62,23,247
59,24,248
62,23,244
61,22,250
61,22,249
61,24,247
62,24,247
61,23,248
62,22,249
63,22,248
61,21,250
60,22,247
62,21,248
63,22,246
61,22,248
61,23,247
61,25,246
61,24,245
63,24,245
60,23,249
61,23,249
62,24,244
62,23,248
63,22,248
63,24,243
61,24,247
62,23,246
63,23,247
63,23,248
62,24,247
62,23,249
62,21,247
62,23,250
61,22,249
62,24,247
62,21,247
63,24,245
62,24,247
61,23,249
61,30,251
59,21,251
55,11,249
60,24,251
62,26,247
62,22,249
61,18,249
63,20,248
63,19,251
65,21,248
65,15,250
66,21,246
65,24,245
67,19,246
69,19,247
68,21,246
66,19,250
68,20,246
69,20,246
67,21,245
67,22,244
69,20,247
68,19,249
66,18,250
66,20,248
66,20,245
69,21,244
68,22,245
68,20,247
68,19,248
68,21,245
69,20,247
73,20,246
72,24,245
71,20,244
72,22,243
73,21,244
71,21,245
70,18,248
69,20,248
71,20,245
72,20,244
69,21,244
71,20,246
69,20,249
70,20,247
69,20,246
70,21,245
69,22,243
70,21,244
71,19,247
73,19,246
70,21,245
69,21,245
70,21,245
70,21,242
70,20,247
69,20,247
69,20,244
70,20,246
71,20,244
69,21,247
69,20,249
69,20,247
72,20,244
70,21,246
70,20,244
