accX,accY,accZ
267,169,41
302,343,205
283,476,337
238,465,417
143,405,460
60,275,484
12,183,514
-116,35,581
-192,-20,592
-209,-212,478
-299,-435,408
-480,-554,349
-532,-438,365
-299,-211,166
55,-344,-92
207,-279,-115
273,-158,-87
331,-8,-65
294,142,-30
266,227,50
262,366,214
249,488,338
234,495,398
170,400,444
75,269,480
-29,111,566
-86,67,562
-174,-94,542
-236,-330,453
-302,-313,367
-483,-332,304
-498,-481,216
-281,-288,210
59,-419,-56
191,-305,-108
263,-183,-85
303,-42,-57
283,102,-32
261,192,17
261,315,117
247,478,269
249,492,369
155,429,433
53,301,443
-16,224,499
-57,122,583
-114,116,598
-189,-91,523
-368,-241,485
-520,-272,530
-449,-147,519
-68,-368,254
121,-286,-83
186,-298,-126
264,-219,-92
282,-123,-58
249,5,-1
263,135,143
237,268,318
153,367,398
11,374,495
-82,224,604
-144,30,562
-315,-33,517
-517,-312,534
-308,-196,328
-49,-155,56
119,-307,-103
229,-305,-103
299,-176,-74
273,-9,-30
255,113,103
257,322,291
132,383,413
52,309,472
-70,278,564
-167,71,625
-194,-130,473
-499,-115,503
-448,-382,445
2,-159,30
125,-296,-106
235,-296,-102
291,-164,-69
274,-41,-25
270,162,121
260,265,233
183,329,391
75,380,442
-65,239,568
-133,77,569
-208,-151,547
-471,-141,479
-343,-366,331
2,-239,44
167,-316,-116
290,-229,-90
308,-33,-59
243,98,57
233,333,290
156,376,391
29,240,473
-116,122,615
-183,67,566
-304,-145,415
-524,-402,440
-134,-341,215
136,-308,-104
264,-278,-96
316,-88,-65
257,96,13
253,209,229
187,386,393
74,334,443
-56,185,546
-183,11,612
-272,-67,484
-514,-356,427
-340,-282,383
112,-295,-79
229,-296,-104
325,-157,-75
268,18,-31
246,184,135
247,367,335
139,346,400
46,352,479
-59,208,531
-124,7,623
-264,-48,456
-550,-456,450
-400,-80,298
96,-370,-41
228,-261,-99
294,-177,-67
264,44,-23
242,179,92
242,314,325
159,397,390
57,292,505
-96,159,549
-104,37,612
-214,-89,427
-496,-422,504
-426,-222,212
21,-277,0
209,-293,-100
301,-196,-82
288,-26,-34
246,158,59
243,272,243
189,374,407
43,294,440
-62,254,571
-156,36,557
-149,-35,511
-463,-392,441
-524,-164,418
-40,-493,72
177,-282,-107
292,-241,-76
304,-85,-64
259,128,33
247,239,184
217,348,375
103,401,448
-32,178,509
-67,220,551
-185,-57,574
-239,-78,448
-539,-432,484
-416,-230,220
20,-268,3
203,-290,-97
296,-164,-72
277,34,-44
260,139,77
240,317,256
209,406,408
33,316,439
-40,245,523
-95,71,628
-157,-183,490
-342,-202,475
-565,-477,469
-287,-478,157
124,-301,-92
233,-255,-98
287,-183,-74
279,0,-38
260,132,30
268,287,217
201,318,358
118,379,416
5,343,495
-109,261,569
-171,-48,597
-231,-164,417
-474,-172,453
-483,-287,507
-115,-399,202
151,-281,-108
248,-257,-119
305,-151,-74
278,-28,-24
243,111,78
254,277,247
243,339,332
186,419,412
46,380,469
-92,119,559
-130,105,551
-146,2,477
-343,-163,472
-525,-410,521
-328,-569,301
119,-278,-96
229,-238,-113
320,-207,-78
303,-94,-48
257,85,25
236,234,152
247,343,339
180,315,417
58,304,449
-31,291,505
-113,212,626
-119,9,584
-224,-174,522
-519,-488,491
